Transaction_date,Quantity,Subtotal,Taxes,DiscountPrice,TotalAmount,Payment_Method,Products_ProductID,CustomerCart_CustomerID,Cashier_CashierID
2014-03-17,2,5.56,0.35,0.00,5.91,Debitcard,OFF-AR-10003732,Henry,1
2014-03-17,1,4.06,0.25,0.00,4.32,Debitcard,OFF-PA-10002195,Darren,1
2014-03-17,3,38.88,2.19,3.89,41.07,Debitcard,OFF-PA-10002365,Gene,1
2014-03-17,3,795.51,42.26,119.33,837.77,Cash,OFF-ST-10000078,Darren,2
2014-03-18,1,3.38,0.21,0.00,3.59,COD,OFF-AR-10003723,Paul,3
2014-03-18,2,16.90,1.06,0.00,17.95,COD,OFF-PA-10001204,Tracy,3
2014-03-19,4,1595.89,84.78,239.38,1680.67,Cash,FUR-CH-10003379,Sandra,3
2014-03-19,3,45.70,2.57,4.57,48.27,Cash,FUR-FU-10001756,Henry,3
2014-03-19,3,9.62,0.60,0.00,10.23,Cash,OFF-BI-10000773,Linda,3
2014-03-19,4,86.38,4.86,8.64,91.23,Cash,OFF-BI-10001543,Alejandro,3
2014-03-19,4,8.27,0.52,0.00,8.79,Debitcard,OFF-BI-10001617,Darren,2
2014-03-19,2,116.34,5.82,23.27,122.16,Debitcard,OFF-BI-10003007,Joel,2
2014-03-19,3,329.76,14.43,98.93,344.19,Cash,OFF-PA-10002120,Andrew,3
2014-03-19,1,64.78,3.24,12.96,68.02,Debitcard,OFF-ST-10000736,Paul,2
2014-03-19,1,142.78,6.25,42.83,149.02,Cash,OFF-ST-10001490,Janet,3
2014-03-19,2,21.36,1.20,2.14,22.56,Debitcard,OFF-ST-10003221,Patrick,2
2014-03-19,12,82.80,5.18,0.00,87.98,Debitcard,TEC-AC-10004877,Paul,2
2014-03-21,4,3571.92,189.76,535.79,3761.68,netbanking,FUR-TA-10001950,Sean,2
2014-03-21,7,2106.33,111.90,315.95,2218.23,netbanking,FUR-TA-10003473,Tracy,2
2014-03-21,3,818.54,43.49,122.78,862.03,netbanking,FUR-TA-10004175,Harold,2
2014-03-21,4,620.16,27.13,186.05,647.29,netbanking,OFF-PA-10000919,Pete,2
2014-03-21,7,244.02,13.73,24.40,257.75,netbanking,OFF-PA-10002960,Sandra,2
2014-03-21,2,943.84,50.14,141.58,993.98,EMI,TEC-PH-10002415,Erin,1
2014-03-22,2,32.56,1.83,3.26,34.39,Debitcard,OFF-AR-10003478,Matt,2
2014-03-23,3,122.35,6.88,12.24,129.23,Debitcard,FUR-FU-10001986,Claire,3
2014-03-23,2,8.36,0.52,0.00,8.88,Debitcard,FUR-FU-10004270,Gene,3
2014-03-23,3,8.02,0.50,0.00,8.52,Debitcard,OFF-AR-10003183,Henry,3
2014-03-23,3,23.67,1.48,0.00,25.15,Debitcard,OFF-FA-10003112,Lena,3
2014-03-23,4,21.38,1.34,0.00,22.71,Debitcard,OFF-PA-10001804,Zuschuss,3
2014-03-23,6,135830.88,8064.96,6791.54,143895.84,Debitcard,TEC-MA-10002412,Darrin,3
2014-03-23,4,2299.64,122.17,344.95,2421.81,Debitcard,TEC-MA-10003626,Pete,3
2014-03-24,2,187.56,9.38,37.51,196.94,"Credit card",OFF-AP-10001154,Erin,1
2014-03-24,6,15.74,0.98,0.00,16.73,"Credit card",OFF-AR-10003829,Joel,1
2014-03-24,6,86.11,4.84,8.61,90.96,"Credit card",OFF-BI-10000136,Linda,1
2014-03-24,10,96.12,6.01,0.00,102.13,"Credit card",OFF-BI-10001758,Ted,1
2014-03-24,7,94.36,5.31,9.44,99.67,"Credit card",OFF-PA-10000466,Emily,1
2014-03-25,3,12.10,0.76,0.00,12.85,EMI,OFF-AR-10004027,Patrick,1
2014-03-25,2,14.82,0.93,0.00,15.74,EMI,OFF-AR-10004685,Karen,1
2014-03-26,3,353.65,15.47,106.09,369.12,Cash,FUR-CH-10001482,Patrick,3
2014-03-26,5,257.33,12.87,51.47,270.19,"Credit card",OFF-BI-10002735,Gene,3
2014-03-26,4,30.58,1.91,0.00,32.49,"Credit card",OFF-BI-10004410,Zuschuss,3
2014-03-26,3,148.70,8.36,14.87,157.07,Cash,OFF-PA-10002581,Paul,3
2014-03-26,2,264.32,11.56,79.30,275.88,Cash,OFF-ST-10000585,Gene,2
2014-03-26,6,1209.50,64.25,181.43,1273.76,Cash,TEC-PH-10003484,Patrick,2
2014-03-28,5,24.90,1.56,0.00,26.46,netbanking,OFF-PA-10004948,Andrew,3
2014-03-30,3,106.08,5.97,10.61,112.05,netbanking,TEC-AC-10002323,Joel,2
2014-03-31,1,0.85,0.05,0.00,0.91,"Credit card",OFF-BI-10003529,Gene,3
2014-04-01,7,1304.13,57.06,391.24,1361.18,EMI,FUR-CH-10002439,Paul,1
2014-04-03,5,119.16,6.70,11.92,125.86,Debitcard,OFF-AR-10001915,Matt,2
2014-04-04,7,24.40,1.53,0.00,25.93,netbanking,OFF-BI-10002071,Emily,2
2014-04-04,2,79.98,4.50,8.00,84.48,netbanking,TEC-AC-10004901,Matt,2
2014-04-05,2,52.98,2.98,5.30,55.96,"Credit card",OFF-AP-10002765,Ruben,3
2014-04-05,2,1.80,0.11,0.00,1.91,Debitcard,OFF-BI-10004140,Ruben,2
2014-04-05,2,1010.35,53.67,151.55,1064.03,"Credit card",OFF-BI-10004390,Alejandro,3
2014-04-06,4,12.82,0.80,0.00,13.62,EMI,OFF-BI-10000042,Sandra,2
2014-04-06,2,23.68,1.33,2.37,25.01,EMI,OFF-LA-10002312,Pete,2
2014-04-07,1,55.48,2.77,11.10,58.25,EMI,OFF-PA-10004071,Tracy,1
2014-04-07,4,130.24,7.33,13.02,137.57,Cash,OFF-ST-10001031,Paul,3
2014-04-07,4,99.26,5.58,9.93,104.85,Cash,OFF-ST-10003455,Claire,3
2014-04-08,3,257.94,12.90,51.59,270.84,COD,FUR-TA-10001039,Paul,2
2014-04-08,2,8.13,0.51,0.00,8.64,Cash,OFF-PA-10002195,Emily,1
2014-04-08,3,58.32,3.28,5.83,61.60,Cash,OFF-PA-10003797,Karen,1
2014-04-08,5,186.04,10.46,18.60,196.50,Cash,OFF-ST-10004180,Sandra,1
2014-04-08,1,10.30,0.58,1.03,10.88,COD,OFF-SU-10004498,Zuschuss,2
2014-04-08,2,159.97,8.00,31.99,167.97,Cash,TEC-AC-10002926,Kunst,1
2014-04-08,2,233.57,10.22,70.07,243.79,COD,TEC-AC-10004659,Gene,2
2014-04-09,1,5.47,0.34,0.00,5.81,COD,FUR-FU-10004020,Alejandro,3
2014-04-09,7,36.74,2.30,0.00,39.03,netbanking,OFF-AR-10000127,Henry,3
2014-04-09,4,63.49,3.57,6.35,67.06,COD,OFF-AR-10001955,Claire,3
2014-04-09,7,18.37,1.15,0.00,19.52,netbanking,OFF-AR-10004757,Tracy,3
2014-04-09,6,18.90,1.18,0.00,20.08,"Credit card",OFF-LA-10001641,Paul,1
2014-04-09,2,25.92,1.46,2.59,27.38,netbanking,OFF-PA-10003349,Brendan,3
2014-04-09,5,3331.24,176.97,499.69,3508.21,netbanking,OFF-SU-10002881,Ruben,3
2014-04-09,1,28.99,1.63,2.90,30.62,netbanking,TEC-PH-10001615,Erin,3
2014-04-10,2,14.34,0.90,0.00,15.23,COD,FUR-FU-10004415,Darren,3
2014-04-10,6,179.64,10.10,17.96,189.74,COD,OFF-BI-10003719,Joel,1
2014-04-12,3,326.78,14.30,98.03,341.07,"Credit card",FUR-TA-10000688,Ruben,1
2014-04-12,3,122.97,6.92,12.30,129.89,Debitcard,OFF-PA-10000100,Henry,1
2014-04-12,2,33.90,1.91,3.39,35.81,"Credit card",TEC-AC-10003441,Harold,1
2014-04-12,5,1511.88,80.32,226.78,1592.20,Debitcard,TEC-PH-10003273,Joel,1
2014-04-13,3,6.91,0.43,0.00,7.34,netbanking,OFF-FA-10001332,Paul,3
2014-04-13,2,12.96,0.81,0.00,13.77,netbanking,OFF-PA-10000029,Henry,3
2014-04-13,7,671.89,33.59,134.38,705.48,netbanking,TEC-AC-10001874,Erin,3
2014-04-13,3,767.95,40.80,115.19,808.75,netbanking,TEC-AC-10002001,Janet,3
2014-04-15,2,4.74,0.30,0.00,5.03,netbanking,OFF-FA-10000611,Irene,1
2014-04-15,3,57.02,3.21,5.70,60.23,netbanking,OFF-PA-10004733,Claire,1
2014-04-16,1,9.58,0.60,0.00,10.18,netbanking,OFF-BI-10004817,Steve,3
2014-04-16,6,3791.76,201.44,568.76,3993.20,netbanking,TEC-PH-10001835,Lena,3
2014-04-17,3,308.50,13.50,92.55,322.00,"Credit card",FUR-BO-10001337,Karen,2
2014-04-17,4,22.32,1.40,0.00,23.72,COD,OFF-AR-10000122,Steve,2
2014-04-17,7,13.57,0.85,0.00,14.41,"Credit card",OFF-BI-10002764,Paul,2
2014-04-17,10,509.97,25.50,101.99,535.47,COD,OFF-BI-10003656,Paul,2
2014-04-17,13,116.22,7.26,0.00,123.48,COD,OFF-FA-10002780,Steve,2
2014-04-17,4,547.96,23.97,164.39,571.93,"Credit card",TEC-PH-10000576,Erin,2
2014-04-17,12,95.90,5.99,0.00,101.90,COD,TEC-PH-10000702,Zuschuss,2
2014-04-17,14,2150.18,94.07,645.05,2244.25,"Credit card",TEC-PH-10001557,Eric,2
2014-04-20,6,97.68,5.49,9.77,103.17,"Credit card",OFF-AR-10003478,Claire,3
2014-04-21,3,228.42,11.42,45.68,239.84,netbanking,FUR-FU-10004017,Darren,1
2014-04-22,5,1169.30,62.12,175.40,1231.42,netbanking,FUR-TA-10001705,Joel,3
2014-04-22,2,344.22,15.06,103.27,359.28,netbanking,FUR-TA-10004442,Kunst,3
2014-04-22,5,56.05,3.15,5.61,59.20,netbanking,OFF-ST-10004634,Lena,3
2014-04-23,5,17.20,1.08,0.00,18.28,EMI,OFF-AR-10000657,Janet,3
2014-04-23,4,13.12,0.82,0.00,13.94,EMI,OFF-AR-10002375,Eric,3
2014-04-23,2,11.62,0.73,0.00,12.35,EMI,OFF-FA-10000134,Alejandro,3
2014-04-23,4,1151.87,61.19,172.78,1213.07,EMI,TEC-MA-10002859,Andrew,3
2014-04-24,3,7.51,0.47,0.00,7.98,COD,OFF-BI-10004876,Zuschuss,1
2014-04-25,5,37.17,2.32,0.00,39.49,Cash,OFF-BI-10002976,Andrew,3
2014-04-27,2,562.74,29.90,84.41,592.64,COD,FUR-CH-10002965,Lena,1
2014-04-27,2,562.74,29.90,84.41,592.64,COD,FUR-CH-10002965,Matt,1
2014-04-27,4,22.34,1.40,0.00,23.73,COD,FUR-FU-10002191,Ken,1
2014-04-27,8,9.98,0.62,0.00,10.61,COD,OFF-BI-10000145,Darren,1
2014-04-29,3,12.48,0.78,0.00,13.26,netbanking,OFF-AR-10002221,Irene,1
2014-04-29,2,20.74,1.17,2.07,21.90,netbanking,OFF-PA-10003543,Brosina,1
2014-04-29,3,65.97,3.71,6.60,69.68,"Credit card",TEC-PH-10004531,Andrew,1
2014-04-30,5,2602.32,138.25,390.35,2740.57,netbanking,FUR-CH-10003973,Claire,3
2014-04-30,5,363.90,18.20,72.78,382.10,netbanking,FUR-FU-10003708,Sean,3
2014-04-30,3,812.16,43.15,121.82,855.31,netbanking,OFF-AP-10001391,Matt,3
2014-05-01,2,83.14,4.68,8.31,87.81,"Credit card",FUR-CH-10002304,Paul,2
2014-05-01,3,43.06,2.42,4.31,45.48,"Credit card",OFF-BI-10000136,Claire,2
2014-05-02,3,76.46,4.30,7.65,80.77,"Credit card",TEC-AC-10002550,Lena,3
2014-05-03,3,690.84,36.70,103.63,727.54,EMI,FUR-CH-10004886,Linda,1
2014-05-03,2,10.68,0.67,0.00,11.35,COD,OFF-AR-10004752,Kunst,3
2014-05-03,6,9.14,0.57,0.00,9.72,EMI,OFF-BI-10001525,Odella,1
2014-05-03,2,12.52,0.78,0.00,13.30,COD,OFF-BI-10001628,Henry,3
2014-05-03,1,3.15,0.20,0.00,3.35,COD,OFF-LA-10000452,Eric,3
2014-05-03,3,13.82,0.86,0.00,14.69,"Credit card",OFF-LA-10001613,Harold,3
2014-05-03,9,1194.26,52.25,358.28,1246.51,COD,OFF-ST-10000877,Ted,3
2014-05-03,2,355.14,15.54,106.54,370.67,"Credit card",OFF-ST-10001128,Emily,3
2014-05-03,3,67.74,3.81,6.77,71.55,"Credit card",OFF-ST-10002214,Lena,3
2014-05-04,2,13.97,0.87,0.00,14.84,"Credit card",FUR-FU-10001424,Andrew,2
2014-05-04,2,40.21,2.26,4.02,42.47,COD,FUR-FU-10001473,Linda,2
2014-05-05,7,34.50,2.16,0.00,36.65,COD,OFF-LA-10002195,Janet,1
2014-05-08,3,182.67,9.13,36.53,191.80,EMI,FUR-CH-10001146,Ruben,3
2014-05-08,4,37.44,2.34,0.00,39.78,netbanking,OFF-BI-10001294,Ken,3
2014-05-09,2,10.50,0.66,0.00,11.15,"Credit card",OFF-AR-10003651,Ruben,3
2014-05-09,3,9.45,0.59,0.00,10.04,netbanking,OFF-LA-10001641,Tracy,1
2014-05-09,5,82.60,4.65,8.26,87.25,netbanking,OFF-LA-10003121,Matt,1
2014-05-09,2,49.12,2.76,4.91,51.88,"Credit card",OFF-PA-10001363,Andrew,3
2014-05-09,7,45.36,2.84,0.00,48.20,netbanking,OFF-PA-10002689,Henry,1
2014-05-09,3,28.26,1.77,0.00,30.03,"Credit card",OFF-PA-10003016,Henry,3
2014-05-09,3,166.50,8.33,33.30,174.83,netbanking,OFF-ST-10000107,Linda,1
2014-05-10,8,105.55,5.94,10.56,111.49,COD,OFF-BI-10003684,Brosina,1
2014-05-10,3,8.17,0.51,0.00,8.68,Cash,OFF-BI-10003981,Joel,2
2014-05-10,3,15.07,0.94,0.00,16.01,Cash,OFF-BI-10004828,Alejandro,2
2014-05-10,2,90.50,5.09,9.05,95.59,"Credit card",OFF-ST-10003442,Pete,2
2014-05-11,6,259.06,14.57,25.91,273.63,Debitcard,OFF-AR-10001897,Henry,2
2014-05-11,2,11.56,0.72,0.00,12.28,Debitcard,OFF-LA-10004425,Sandra,2
2014-05-15,7,13.92,0.87,0.00,14.79,Debitcard,FUR-FU-10000010,Eric,2
2014-05-15,8,796.70,39.84,159.34,836.54,"Credit card",OFF-BI-10004519,Kunst,3
2014-05-15,3,316.26,13.84,94.88,330.10,Debitcard,OFF-EN-10001434,Ted,2
2014-05-15,2,14.21,0.89,0.00,15.10,"Credit card",OFF-FA-10002815,Brosina,3
2014-05-15,2,111.00,5.55,22.20,116.55,EMI,OFF-ST-10000107,Brosina,3
2014-05-15,3,268.75,13.44,53.75,282.19,COD,TEC-AC-10000109,Darren,3
2014-05-15,4,67.80,3.81,6.78,71.61,COD,TEC-AC-10003441,Alejandro,3
2014-05-15,5,54.50,3.07,5.45,57.57,Debitcard,TEC-PH-10003988,Lena,2
2014-05-16,4,264.45,13.22,52.89,277.67,"Credit card",FUR-FU-10000723,Linda,1
2014-05-16,2,72.64,4.09,7.26,76.73,"Credit card",TEC-AC-10001465,Sean,1
2014-05-16,1,100.79,4.41,30.24,105.20,"Credit card",TEC-PH-10002597,Eric,1
2014-05-17,3,1200.10,63.76,180.01,1263.85,Cash,FUR-TA-10002228,Joel,2
2014-05-17,2,58.58,3.30,5.86,61.88,"Credit card",TEC-AC-10001013,Harold,3
2014-05-17,3,119.98,6.75,12.00,126.72,Debitcard,TEC-AC-10002800,Zuschuss,2
2014-05-18,3,7.18,0.45,0.00,7.63,EMI,OFF-AP-10004249,Andrew,2
2014-05-20,3,373.08,16.32,111.92,389.40,Cash,FUR-FU-10000308,Ted,3
2014-05-20,2,155.44,7.77,31.09,163.21,Cash,FUR-FU-10004306,Emily,3
2014-05-20,4,15.94,1.00,0.00,16.93,Cash,OFF-PA-10001526,Ruben,3
2014-05-21,3,55.01,3.09,5.50,58.10,"Credit card",OFF-BI-10000666,Paul,2
2014-05-22,7,139.86,7.87,13.99,147.73,netbanking,FUR-FU-10000076,Zuschuss,1
2014-05-22,4,19.97,1.25,0.00,21.22,netbanking,OFF-AP-10000124,Henry,1
2014-05-22,9,77.04,4.82,0.00,81.86,netbanking,OFF-AR-10004511,Joel,1
2014-05-23,9,34.45,2.15,0.00,36.61,Cash,OFF-BI-10001249,Sean,2
2014-05-24,2,1559.59,82.85,233.94,1642.45,Debitcard,TEC-PH-10002885,Matt,3
2014-05-25,8,50.94,3.18,0.00,54.13,Cash,OFF-AR-10003514,Andrew,2
2014-05-25,7,2172.74,115.43,325.91,2288.17,netbanking,OFF-BI-10003925,Darren,1
2014-05-25,3,741.56,39.40,111.23,780.96,netbanking,TEC-PH-10001530,Joel,1
2014-05-27,10,354.45,19.94,35.45,374.39,"Credit card",FUR-TA-10002607,Patrick,3
2014-05-27,9,52.92,3.31,0.00,56.23,Debitcard,OFF-AR-10001246,Patrick,2
2014-05-27,2,3.28,0.21,0.00,3.49,Debitcard,OFF-BI-10000848,Ken,2
2014-05-27,4,574.91,25.15,172.47,600.06,"Credit card",OFF-ST-10001809,Steve,3
2014-05-27,2,73.58,4.14,7.36,77.72,Debitcard,TEC-PH-10003092,Eric,2
2014-05-29,2,58.64,3.30,5.86,61.94,"Credit card",FUR-FU-10002553,Harold,1
2014-05-29,2,151.20,7.56,30.24,158.76,"Credit card",OFF-AP-10001394,Tracy,1
2014-05-29,5,48.40,3.03,0.00,51.43,Cash,OFF-PA-10002893,Joel,3
2014-05-29,2,217.57,9.52,65.27,227.09,Debitcard,TEC-PH-10002660,Brendan,1
2014-05-29,1,35.96,2.02,3.60,37.98,Debitcard,TEC-PH-10003171,Karen,1
2014-05-30,2,273.57,11.97,82.07,285.54,"Credit card",FUR-BO-10000362,Matt,1
2014-05-30,2,225.30,9.86,67.59,235.15,netbanking,FUR-CH-10000988,Lena,2
2014-05-30,6,104.76,5.89,10.48,110.65,Cash,OFF-BI-10004139,Brosina,1
2014-05-30,3,93.02,5.23,9.30,98.26,Debitcard,OFF-PA-10002319,Ken,2
2014-05-30,2,201.58,8.82,60.48,210.40,"Credit card",TEC-PH-10000441,Tracy,1
2014-05-30,2,167.97,8.40,33.59,176.37,"Credit card",TEC-PH-10002726,Steve,1
2014-06-01,1,99.99,5.00,20.00,104.99,netbanking,TEC-AC-10001606,Matt,1
2014-06-01,12,4454.02,236.62,668.10,4690.64,netbanking,TEC-PH-10000486,Pete,1
2014-06-05,3,13.62,0.85,0.00,14.47,EMI,OFF-PA-10001622,Joel,2
2014-06-06,7,3202.98,170.16,480.45,3373.13,Cash,FUR-CH-10004063,Steve,2
2014-06-06,6,17.76,1.11,0.00,18.87,Cash,FUR-FU-10001935,Janet,1
2014-06-06,5,3006.50,159.72,450.98,3166.22,Cash,OFF-AP-10002945,Tracy,2
2014-06-06,6,867.60,37.96,260.28,905.56,Cash,OFF-AR-10002135,Lena,1
2014-06-06,2,17.12,1.07,0.00,18.19,Cash,OFF-AR-10004511,Erin,1
2014-06-06,3,36.38,2.05,3.64,38.43,Cash,OFF-BI-10001072,Zuschuss,1
2014-06-06,4,82.94,4.67,8.29,87.61,Cash,OFF-PA-10000061,Sandra,2
2014-06-06,6,47.88,2.99,0.00,50.87,Cash,OFF-PA-10004082,Henry,2
2014-06-06,2,285.55,12.49,85.67,298.04,Cash,OFF-ST-10001490,Emily,1
2014-06-06,2,133.38,6.67,26.68,140.04,Cash,OFF-ST-10002276,Pete,2
2014-06-06,3,431.95,18.90,129.58,450.84,Cash,TEC-PH-10001425,Odella,1
2014-06-06,7,1411.09,74.96,211.66,1486.05,Cash,TEC-PH-10002563,Matt,1
2014-06-07,6,73.32,4.12,7.33,77.44,netbanking,FUR-FU-10000246,Ted,3
2014-06-07,6,309.53,15.48,61.91,325.00,COD,FUR-TA-10004086,Harold,3
2014-06-07,3,14.95,0.93,0.00,15.89,netbanking,OFF-BI-10001658,Tracy,3
2014-06-09,2,21.38,1.20,2.14,22.58,"Credit card",OFF-AR-10002656,Patrick,3
2014-06-09,2,32.45,1.83,3.24,34.27,EMI,OFF-PA-10001685,Darrin,1
2014-06-10,3,37.39,2.10,3.74,39.49,netbanking,OFF-BI-10003982,Darrin,1
2014-06-11,3,645.44,34.29,96.82,679.73,"Credit card",FUR-TA-10002041,Tracy,2
2014-06-11,3,826.47,43.91,123.97,870.38,netbanking,FUR-TA-10003238,Andrew,3
2014-06-11,7,2594.34,137.82,389.15,2732.16,EMI,FUR-TA-10004534,Ted,2
2014-06-11,9,112.16,6.31,11.22,118.47,netbanking,OFF-BI-10003982,Brendan,3
2014-06-11,2,17.14,1.07,0.00,18.21,netbanking,OFF-SU-10001664,Sean,3
2014-06-12,3,191.65,9.58,38.33,201.23,COD,FUR-CH-10002647,Brosina,1
2014-06-13,2,37.40,2.10,3.74,39.50,Debitcard,FUR-FU-10002685,Alejandro,2
2014-06-13,2,140.74,7.04,28.15,147.77,"Credit card",OFF-AR-10001953,Gene,2
